UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
oscread+  1106     1  1107  0    2 15:04 ?        00:00:00 /usr/lib/gvfs/gvfsd
oscread+  1112     1  1112  0    1 15:04 ?        00:00:00 /bin/sh /usr/bin/start-pulseaudio-x11
oscread+  1113  1112  1113  0    1 15:04 ?        00:00:00 /usr/bin/xprop -root -spy
oscread+  1115     1  1115  0    5 15:04 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
oscread+  1115     1  1118  0    5 15:04 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
oscread+  1115     1  1119  0    5 15:04 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
oscread+  1115     1  1120  0    5 15:04 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
oscread+  1115     1  1121  0    5 15:04 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
oscread+  1123     1  1123  0    3 15:04 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
oscread+  1123     1  1124  0    3 15:04 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
oscread+  1123     1  1131  0    3 15:04 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root      1125     1  1125  0    5 15:04 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1125     1  1126  0    5 15:04 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1125     1  1128  0    5 15:04 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1125     1  1129  0    5 15:04 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1125     1  1130  0    5 15:04 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
oscread+  1134     1  1134  0    2 15:04 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
oscread+  1134     1  1135  0    2 15:04 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
oscread+  1137     1  1137  0    4 15:04 ?        00:00:00 /usr/lib/gnome-online-accounts/goa-daemon
oscread+  1137     1  1138  0    4 15:04 ?        00:00:00 /usr/lib/gnome-online-accounts/goa-daemon
oscread+  1137     1  1140  0    4 15:04 ?        00:00:00 /usr/lib/gnome-online-accounts/goa-daemon
